"NOM";"CP";"URL";"SOUS_TYPE";"LATTI";"LONGI";"Public";"ORGANISME";"Type";"GCD";"COMMUNE"
"musée des Beaux-Arts et d Archéologie";"52000";"www.tourisme-chaumont-champagne.com/patrimoine-culturel/musee-d-art-et-d-histoire-de-chaumont.fr.16.pcu15";"Archeologie";48.112482;5.137331;"";"";"Musée";"";"CHAUMONT"
"musée d art et d histoire";"52200";"www.musees-langres.fr/";"Archeologie";47.865268;5.333286;"";"";"Musée";"";"LANGRES"
"musée de la Coutellerie";"52800";"www.villedenogent52.fr/page/culture/musee/";"Arts décoratif";48.02758;5.341424;"";"";"Musée";"";"NOGENT"
"musée Jérôme Carcopino";"20270";"www.haute-corse.fr/site/index.php?page=musee-archeologie-aleria";"Archeologie";42.113417;9.512108;"";"";"Musée";"";"ALERIA"
"musée Comtois";"25000";"www.citadelle.com/fr/le-musee-comtois.html";"Ethnologie";47.236687;6.022095;"";"";"Musée";"";"BESANÇON"
"musée de Plein Air des Maisons Comtoises";"25360";"www.maisons-comtoises.org/";"Arts décoratif";47.242984;6.18963;"";"";"Musée";"";"NANCRAY"
"musée départemental Albert Demard";"70600";"musees.haute-saone.fr/";"Arts décoratif";47.617066;5.517093;"";"";"Musée";"";"CHAMPLITTE"
"musée départemental de La Montagne";"70130";"musees.haute-saone.fr/chateau-lambert/";"Ethnologie";47.836247;6.734944;"";"";"Musée";"";"LE_HAUT-DU-THEM_CHATEAU-LAMBERT"
"musée Baron Martin";"70100";"www.musee-baronmartin.fr/";"Archeologie";47.446411;5.592781;"";"";"Musée";"";"GRAY"
"musée de l école de Barbizon - auberge Ganne";"77630";"www.musee-peintres-barbizon.fr/fr";"Archeologie";48.446181;2.602464;"";"";"Musée";"";"BARBIZON"
"musée Alfred Bonno";"77500";"www.chelles.fr/chelles-a-vivre/culture/musee-alfred-bonno/";"Archeologie";48.87766;2.591845;"";"";"Musée";"";"CHELLES"
"Maison Natale de Louis Braille";"77700";"museelouisbraille.com/";"Histoire";48.867372;2.712931;"";"";"Musée";"";"COUPVRAY"
"musée de Melun";"77000";"www.ville-melun.fr/temps-libre/musee-d-art-et-d-histoire-de-la-ville-de-melun/232-presentation-du-musee";"Archeologie";48.536398;2.658972;"";"";"Musée";"";"MELUN"
"musée de Provins et du Provinois";"77160";"www.provins.net/decouvrir-visiter/samuser-au-musee/le-musee-de-provins-et-du-provinois/";"Archeologie";48.561624;3.290374;"";"";"Musée";"";"PROVINS"
"musée de la ville";"78180";"www.saint-quentin-en-yvelines.fr/fr/sortir-et-decouvrir/envie-de-culture/le-musee-de-la-ville-et-le-patrimoine/le-musee";"Arts décoratif";48.782594;2.042664;"";"";"Musée";"";"MONTIGNY-LE-BRETONNEUX"
"musée Lambinet";"78000";"www.versailles.fr/museelambinet/";"Arts décoratif";48.808966;2.130624;"";"";"Musée";"";"VERSAILLES"
"musée municipal Robert Dubois-Corneau";"91800";"www.brunoy.fr/vos-demarches-services/vie-culturelle-et-animations/musee/";"Arts décoratif";48.700308;2.500293;"";"";"Musée";"";"BRUNOY"
"musée du château";"91410";"www.dourdan.fr/musee-du-chateau/";"Archeologie";48.529685;2.011803;"";"";"Musée";"";"DOURDAN"
"musée des années trente";"92100";"www.boulognebillancourt.com/loisirs/culture/les-musees/musee-des-annees-trente";"Arts décoratif";48.834945;2.241177;"";"";"Musée";"";"BOULOGNE-BILLANCOURT"
"musée-jardin Paul Landowski";"92100";"www.boulognebillancourt.com/loisirs/culture/les-musees/musee-paul-landowski";"Art";48.844261;2.246847;"";"";"Musée";"";"BOULOGNE-BILLANCOURT"
"musée d art et d histoire";"92190";"musee.meudon.fr/";"Histoire";48.806412;2.234894;"";"";"Musée";"";"MEUDON"
"musée du domaine départemental de Sceaux";"92330";"domaine-de-sceaux.hauts-de-seine.fr/";"Arts décoratif";48.774707;2.299024;"";"";"Musée";"";"SCEAUX"
"MUS - musée d histoire urbaine et sociale de Suresnes";"92150";"webmuseo.com/ws/musee-suresnes/app/report/index.html";"Arts décoratif";48.868303;2.221944;"";"";"Musée";"";"SURESNES"
"musée de l histoire vivante";"28500";"www.museehistoirevivante.fr/";"Histoire";48.866151;2.469481;"";"";"Musée";"";"MONTREUIL"
"musée de Saint-Maur - Villa Médicis";"94210";"www.saint-maur.com/?id=127";"Archeologie";48.79310938;2.51490184;"";"";"Musée";"";"LA_VARENNE-SAINT-HILAIRE"
"musée d art contemporain du Val-de-Marne";"94400";"www.macval.fr/";"Art";48.792821;2.387072;"";"";"Musée";"";"VITRY-SUR-SEINE"
"musée Petiet";"11300";"www.limoux.fr/services-municipaux/joomlannuaire/fiche/322-musee-petiet/1-services-municipaux";"Arts décoratif";43.053489;2.2143;"";"";"Musée";"";"LIMOUX"
"Palais-musée des Archevêques de Narbonne";"11100";"webmuseo.com/ws/musees-narbonne/app/collection/expo/1";"Archeologie";43.18416535;3.00427053;"";"";"Musée";"";"NARBONNE"
"musée-Bibliothèque Pierre-André Benoît";"30100";"www.museepab.fr";"Art";44.130014;4.070265;"";"";"Musée";"";"ALES"
"musée Cévenol";"30120";"musee-cevenol.fr";"Archeologie";43.988997;3.606934;"";"";"Musée";"";"LE_VIGAN"
"musée départemental d’art sacré";"30130";"musees.gard.fr/decouvrir-les-musees/musee-dart-sacre-du-gard/presentation.html";"Archeologie";44.255204;4.650869;"";"";"Musée";"";"PONT-SAINT-ESPRIT"
