"Type";"NOM";"CP";"COMMUNE";"SOUS_TYPE";"FAUTEUIL";"ECRAN";"GCD";"LATTI";"LONGI";"ORGANISME";"Public";"URL"
"Cinéma";"Espace Culturel Le Cercle";"43240";"Saint-Just-Malmont";"Cinéma";178;1;"5 - Bourgs ruraux";45.340205;4.313068;"";"";""
"Cinéma";"Le Gen Eric";"44810";"Héric";"Cinéma";621;3;"6 - Rural à habitat dispersé";47.414702;-1.655686;"";"";""
"Cinéma";"Cine Loroux";"44430";"Le_Loroux-Bottereau";"Cinéma";198;1;"3 - Petites villes";47.2354792;-1.35021282;"";"";""
"Cinéma";"Salle Polyvalente";"44780";"Missillac";"Cinéma";150;1;"6 - Rural à habitat dispersé";47.476235;-2.158292;"";"";""
"Cinéma";"Gaumont";"44300";"Nantes";"Cinéma";1875;12;"1 - Grands centres urbains";47.21342624;-1.55855404;"";"";""
"Cinéma";"Bonne Garde";"44300";"Nantes";"Cinéma";341;1;"1 - Grands centres urbains";47.19530775;-1.5383719;"";"";""
"Cinéma";"Concorde";"44300";"Nantes";"Cinéma";287;4;"1 - Grands centres urbains";47.21118;-1.586751;"";"";""
"Cinéma";"St Joseph";"44210";"Pornic";"Cinéma";185;1;"3 - Petites villes";47.114365;-2.127161;"";"";""
"Cinéma";"Cinema Pax";"44510";"Le_Pouliguen";"Cinéma";230;1;"4 - Ceintures urbaines";47.27610606;-2.42956075;"";"";""
"Cinéma";"Lutetia";"44800";"Saint-Herblain";"Cinéma";288;1;"1 - Grands centres urbains";47.21422285;-1.64955167;"";"";""
"Cinéma";"Salle St Michel";"44730";"Saint-Michel-Chef-Chef";"Cinéma";95;1;"3 - Petites villes";47.1811844;-2.14989654;"";"";""
"Cinéma";"Cine Nova";"44260";"Savenay";"Cinéma";662;5;"3 - Petites villes";47.36557178;-1.94254559;"";"";""
"Cinéma";"Le Cep";"44330";"Vallet";"Cinéma";282;1;"6 - Rural à habitat dispersé";47.16252202;-1.26411359;"";"";""
"Cinéma";"Circuit 1";"45410";"Artenay";"Cinéma";100;1;"5 - Bourgs ruraux";48.083036;1.87847;"";"";""
"Cinéma";"Cinema Le dunois";"45190";"Beaugency";"Cinéma";200;1;"3 - Petites villes";47.77727835;1.6286181;"";"";""
"Cinéma";"Varietes Cinema";"45240";"La_Ferté-Saint-Aubin";"Cinéma";187;1;"3 - Petites villes";47.71860033;1.9418617;"";"";""
"Cinéma";"Robert Doisneau";"46130";"Biars-sur-Cère";"Cinéma";186;1;"5 - Bourgs ruraux";44.92106397;1.84075037;"";"";""
"Cinéma";"Le Quercy";"46000";"Cahors";"Cinéma";360;1;"2 - Centres urbains intermédiaires";44.447834;1.439163;"";"";""
"Cinéma";"Foyer Rural";"46110";"Vayrac";"Cinéma";200;1;"5 - Bourgs ruraux";44.954501;1.70171;"";"";""
"Cinéma";"Theophile de Viau";"47190";"Aiguillon";"Cinéma";254;1;"5 - Bourgs ruraux";44.30189879;0.33881805;"";"";""
"Cinéma";"Stella Cine";"49150";"Baugé-en-Anjou";"Cinéma";203;1;"6 - Rural à habitat dispersé";47.54229844;-0.10740057;"";"";""
"Cinéma";"Espace Cine";"49290";"Chalonnes-sur-Loire";"Cinéma";274;1;"5 - Bourgs ruraux";47.3533375;-0.76420264;"";"";""
