"NOM";"CP";"LATTI";"LONGI";"Site";"SOUS_TYPE";"COMMUNE"
"Beaufiest yval";"17800";45.94271726;-0.5198341;"www.beaufiestyval.com/";"Spectacle vivant";"SAINT-JEAN-D_ANGELY"
"Festival du Film Militant de la Réunion";"97436";-21.16659664;55.33313358;"www.yourtesenscene.com";"Cinéma";"SAINT-LEU"
"Rockmetalcamp";"87800";45.69973122;1.24152186;"http://www.facebook.com/rockmetalcamp/";"Musique";"SAINT-MAURICE-LES-BROUSSES"
"Festival des chapelles";"30330";44.07565125;4.61675819;"www.festivaldeschapelles.com";"Musique";"SAINT-PAUL-LES-FONTS"
"Festival de Saint-Riquier-Baie de Somme";"80135";50.12797922;1.94290239;"festival-de-saint-riquier.fr";"Musique";"SAINT-RIQUIER"
"Les petites flâneries de Saint-Seine";"58250";46.72470573;3.81621435;"non renseigne";"Spectacle vivant";"SAINT-SEINE"
"Festival Henri Mari";"20100";41.57184433;8.93538107;"https://www.facebook.com/FestivalHenryMary/about/?ref=page_internal";"Musique";"SARTENE"
"Le Pêcheur de chaussures";"32420";43.45739233;0.73670536;"www.lebao.fr";"Musique";"SIMORRE"
"Salon du livre de Soissons";"02200";49.3791743;3.32471758;"lire-en-soissonnais.fr";"Livre";"SOISSONS"
"Lire Sur La Vague";"40150";43.66756887;-1.41245897;"www.liresurlavague.org";"Livre";"SOORTS-HOSSEGOR"
"Scènes d été";"17700";46.10447738;-0.75371527;"http://www.cacsurgeres.com/";"Spectacle vivant";"SURGERES"
"Tarbes en tango";"65000";43.23478596;0.06600939;"www.tarbesentango.fr";"Spectacle vivant";"TARBES"
"Festival de théâtre de Tauves";"63690";45.56354227;2.62732247;"www.les-laquais.fr";"Spectacle vivant";"TAUVES"
"Terri thouars Blues Festival";"79100";46.98286284;-0.19958147;"http://www.blues-n-co.org";"Musique";"THOUARS"
"Musica Nigella";"62180";50.35496229;1.7080375;"http://www.musica-nigella.fr/l";"Musique";"TIGNY-NOYELLE"
