"TYPE_DOMAINE";"SOUS_TYPE";"NOM";"URL";"LATTI";"LONGI";"JAUGE";"COMMUNE";"CP";"GCD";"ORGANISME";"Public"
"Theatre";"Théâtre";"Espace Rohan";"";48.74187588;7.36407271;500;"Saverne";"67700";"2 - Centres urbains intermédiaires";"";""
"Theatre";"Théâtre";"Service culturel - Schiltigheim Culture-Le Brassin";"";48.60763014;7.74521437;263;"Schiltigheim";"67300";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre Actuel et Public de Strasbourg";"";48.56547258;7.75917048;253;"Strasbourg";"67100";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Halle au Blé";"";47.62102841;7.23632756;184;"Altkirch";"68130";"3 - Petites villes";"";""
"Theatre";"Théâtre";"Espaces culturels Thann-Cernay-Espace Grün";"";47.80615307;7.17349915;430;"Aspach-le-Bas";"68700";"5 - Bourgs ruraux";"";""
"Theatre";"Théâtre";"Théâtre la Coupole";"";47.58591756;7.56198162;624;"Saint-Louis";"68300";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre La Mouche";"";45.69749209;4.79484004;380;"Saint-Genis-Laval";"69230";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Centre culturel communal Charlie Chaplin";"";45.77830781;4.92021845;1200;"Vaulx-en-Velin";"69120";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Espace Tonkin";"";45.77455183;4.86544153;350;"Villeurbanne";"69100";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre municipal d Autun";"";46.95051707;4.29866434;440;"Antully";"71400";"6 - Rural à habitat dispersé";"";""
"Theatre";"Théâtre";"Service culturel de Montceau-les-Mines";"";46.67371114;4.35974395;1120;"Gourdon";"71300";"6 - Rural à habitat dispersé";"";""
"Theatre";"Théâtre";"Service culturel de Montceau-les-Mines-Auditorium Jean Maillot - Ateliers du Jour";"";46.67238535;4.35766004;99;"Gourdon";"71300";"6 - Rural à habitat dispersé";"";""
"Theatre";"Théâtre";"Carroi-Salle de spectacle Coppélia";"";47.69598691;-0.07482104;700;"Bazouges_Cré_sur_Loir";"72200";"6 - Rural à habitat dispersé";"";""
"Theatre";"Théâtre";"Espace culturel Henri Salvador";"";48.02597482;0.20790682;400;"Coulaines";"72190";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre des Collines-Théâtre Renoir";"";45.90251391;6.09594786;256;"Annecy";"74600";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Centre culturel Léon Curral";"";45.93298982;6.64037831;1100;"Cordon";"74700";"5 - Bourgs ruraux";"";""
"Theatre";"Théâtre";"Monfort";"";48.83265849;2.29821028;576;"Paris";"75015";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre de la Ville-Les Abbesses";"";48.8848623;2.33716695;400;"Paris";"75018";"1 - Grands centres urbains";"";""
"Theatre";"Théâtre";"Théâtre Paris Villette";"";48.89153869;2.3914902;270;"Paris";"75019";"1 - Grands centres urbains";"";""
"Theatre";"Musique";"ARTE";"";48.826983;2.271403;;"ISSY-LES-MOULINEAUX";"92130";"";"Ministère de la Culture ou opérateur national";"Tous publics"
