"CP";"AMPLITUDE_HORAIRE";"NOM";"COMMUNE";"POPULATION";"SOUS_TYPE";"Type";"Url";"GCD";"NB_BENEVOLE";"NB_SALARIE";"SURFACE";"LATTI";"LONGI"
"21220";;"Bibliothèque Simone JUPILLE";"Brochon";783;"Bibliothèque municipale";"Bibliotheque";"";"";1;0;90;47.239257;4.970667
"21400";;"Mairie - Bibliothèque";"Chemin-d Aisey";78;"Bibliothèque municipale";"Bibliotheque";"";"";3;0;6;47.741736;4.564948
"27800";;"Bibliothèque Alban Cayrol";"Le Bec-Hellouin";399;"Bibliothèque municipale";"Bibliotheque";"";"";6;1;82;49.230813;0.722607
"27370";;"Médiathèque Jean d Ormesson";"Le Thuit de l Oison";3752;"Bibliothèque municipale";"Bibliotheque";"";"";10;2;348;49.263081;0.977355
"27480";;"Bibliothèque";"Lyons-la-Forêt";718;"Bibliothèque municipale";"Bibliotheque";"";"";8;0;50;49.398628;1.475215
"27150";;"Ludothèque-médiathèque";"Étrépagny";3812;"Bibliothèque intercommunale";"Bibliotheque";"";"";0;5;441;49.303043;1.612655
"21110";;"Médiathèque";"Fauverney";630;"Bibliothèque municipale";"Bibliotheque";"";"";2;2;150;47.255535;5.145546
"21410";;"Bibliothèque Intercommunale";"Gissey-sur-Ouche";363;"Bibliothèque municipale";"Bibliotheque";"";"";12;0;60;47.264221;4.769829
"21570";;"Agence Postale";"Grancey-sur-Ource";198;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;20;48.007213;4.587598
"21110";;"Bibliothèque Municipale";"Izier";804;"Bibliothèque municipale";"Bibliotheque";"";"";3;1;60;47.281255;5.19048
"21230";;"Mairie - Bibliothèque";"Viévy";359;"Bibliothèque municipale";"Bibliotheque";"";"";1;0;4;47.062731;4.440217
"89500";;"Bibliothèque municipale";"Dixmont";944;"Bibliothèque municipale";"Bibliotheque";"";"";1;0;60;48.082438;3.414571
"21360";;"Mairie - Bibliothèque";"Veuvey-sur-Ouche";217;"Bibliothèque municipale";"Bibliotheque";"";"";2;0;25;47.18496;4.715891
"37370";;"Bibliothèque municipale de Saint-Christophe sur le Nais";"Saint-Christophe-sur-le-Nais";1129;"Bibliothèque municipale";"Bibliotheque";"";"";2;1;80;47.614639;0.473454
"74390";;"Bibliothèque municipale de Châtel";"Châtel";1288;"Bibliothèque municipale";"Bibliotheque";"";"";0;4;35;46.267868;6.840922
"26450";;"Bibliothèque communale Charols";"Charols";949;"Bibliothèque municipale";"Bibliotheque";"";"";14;0;38;44.592038;4.953154
"21120";;"Bibliothèque Municipale";"Lux";528;"Bibliothèque municipale";"Bibliotheque";"";"";7;0;60;47.490777;5.21202
"21130";;"Bibliothèque Municipale de Magny-Montarlot";"Magny-Montarlot";262;"Bibliothèque municipale";"Bibliotheque";"";"";6;0;50;47.245571;5.344108
"21410";;"Bibliothèque Municipale";"Mâlain";798;"Bibliothèque municipale";"Bibliotheque";"";"";2;0;40;47.325876;4.798967
"21270";;"Bibliothèque Municipale";"Maxilly-sur-Saône";369;"Bibliothèque municipale";"Bibliotheque";"";"";1;0;30;47.334033;5.42701
"17160";;"Bibliothèque municipale";"Les Touches-de-Périgny";560;"Bibliothèque municipale";"Bibliotheque";"";"";7;0;50;45.901674;-0.273891
"21120";;"Mairie - Bibliothèque";"Moloy";236;"Bibliothèque municipale";"Bibliotheque";"";"";3;0;37;47.539277;4.932045
"21340";;"Mairie - Bibliothèque";"Val-Mont";259;"Bibliothèque municipale";"Bibliotheque";"";"";1;0;2;47.033405;4.583385
"52000";;"Mediatheque Municipale";"Chaumont";23042;"Bibliothèque municipale";"Bibliotheque";"";"";0;23;600;48.11001;5.129324
"52270";;"Bibliotheque Municipale";"Doulaincourt-Saucourt";824;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;73;48.323019;5.20544
"52140";;"Bibliotheque Municipale";"Val-de-Meuse";1886;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;98;48.000012;5.498815
"53300";;"CCBM Médiathèque";"Ambrières-les-Vallées";2708;"Bibliothèque intercommunale";"Bibliotheque";"";"";5;1;223;48.403111;-0.629881
"53410";;"LAVAL AGGLO - Médiathèque du Bourgneuf La Forêt";"Le Bourgneuf-la-Forêt";1772;"Bibliothèque municipale";"Bibliotheque";"";"";11;1;274;48.162409;-0.96883
"53300";;"CCBM Bibliothèque de Chantrigné";"Chantrigné";621;"Bibliothèque intercommunale";"Bibliotheque";"";"";7;0;70;48.416078;-0.563462
"53500";;"CC ERNEE - Médiathèque d Ernée";"Ernée";5813;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;100;48.296974;-0.938919
"53600";;"CC Coëvrons MEDIATHEQUE MICHEL NICOLAS";"Évron";8843;"Bibliothèque intercommunale";"Bibliotheque";"";"";10;10;776;48.153839;-0.401301
"53380";;"CC ERNEE - Médiathèque de Juvigné";"Juvigné";1479;"Bibliothèque municipale";"Bibliotheque";"";"";10;1;120;48.230375;-1.035101
"53150";;"CC Coëvrons MEDIATHEQUE / LUDOTHEQUE DE MONTSURS";"Montsûrs";3224;"Bibliothèque intercommunale";"Bibliotheque";"";"";21;1;375;48.16678;-0.566594
"54800";;"Bibliotheque Municipale";"Conflans-en-Jarnisy";2416;"Bibliothèque municipale";"Bibliotheque";"";"";5;0;150;49.167137;5.856299
"54830";;"Médiathèque de Gerbéviller";"Gerbéviller";1351;"Bibliothèque municipale";"Bibliotheque";"";"";21;1;250;48.49489;6.509994
"54180";;"Bibliotheque Municipale";"Houdemont";2141;"Bibliothèque municipale";"Bibliotheque";"";"";3;2;90;48.647156;6.175951
"54700";;"Mediatheque Yvon Tondon";"Pont-à-Mousson";14684;"Bibliothèque intercommunale";"Bibliotheque";"";"";4;16;1930;48.901662;6.05756
"55240";;"Bibliotheque Municipale";"Bouligny";2503;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;238;49.292954;5.739543
"55140";;"Bibliothèque Municipale";"Vaucouleurs";1962;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;65;48.602109;5.665402
"56140";;"Bibliotheque Municipale";"Bohal";870;"Bibliothèque municipale";"Bibliotheque";"";"";2;2;28;47.781103;-2.437947
"56800";;"Bibliotheque Municipale";"Campénéac";1941;"Bibliothèque municipale";"Bibliotheque";"";"";12;1;70;47.957176;-2.293162
"56850";;"Mediatheque Municipale";"Caudan";7122;"Bibliothèque municipale";"Bibliotheque";"";"";0;6;779;47.812157;-3.344556
"56750";;"Bibliotheque Municipale";"Damgan";1865;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;119;47.520265;-2.576987
"56410";;"Médiathèque Municipale";"Erdeven";3950;"Bibliothèque municipale";"Bibliotheque";"";"";6;2;150;47.642278;-3.15657
"56320";;"Mediatheque Municipale";"Le Faouët";2851;"Bibliothèque municipale";"Bibliotheque";"";"";0;4;77;48.026559;-3.488995
"56530";;"Mediatheque Municipale";"Gestel";2727;"Bibliothèque municipale";"Bibliotheque";"";"";6;2;290;47.80264;-3.442335
"56390";;"Médiathèque municipale";"Grand-Champ";5691;"Bibliothèque municipale";"Bibliotheque";"";"";15;2;160;47.758721;-2.842688
"56140";;"Espace culturel Le Pass temps";"Malestroit";2548;"Bibliothèque municipale";"Bibliotheque";"";"";25;4;527;47.809153;-2.383301
"56360";;"Bibliothèque Municipale";"Le Palais";2598;"Bibliothèque municipale";"Bibliotheque";"";"";4;3;95;47.347533;-3.157482
"56420";;"Médiathèque municipale";"Plumelec";2758;"Bibliothèque municipale";"Bibliotheque";"";"";6;2;129;47.838317;-2.638447
"56300";;"Espace Kenere-Médiathèque";"Pontivy";15998;"Bibliothèque municipale";"Bibliotheque";"";"";0;11;2400;48.06852;-2.964965
"56530";;"Médiatheque Municipale";"Quéven";9008;"Bibliothèque municipale";"Bibliotheque";"";"";0;9;1200;47.789714;-3.416213
"56670";;"Bibliothèque Municipale";"Riantec";5965;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;350;47.711268;-3.31227
"56370";;"Mediatheque Communautaire Marie Le Franc";"Sarzeau";8968;"Bibliothèque intercommunale";"Bibliotheque";"";"";17;6;543;47.524992;-2.769336
"56460";;"Mediatheque Municipale";"Sérent";3106;"Bibliothèque municipale";"Bibliotheque";"";"";5;2;125;47.822606;-2.506229
"56470";;"Médiathèque Municipale";"Saint-Philibert";1538;"Bibliothèque municipale";"Bibliotheque";"";"";12;1;137;47.571382;-3.005618
"56250";;"Mediatheque Municipale";"Sulniac";3846;"Bibliothèque municipale";"Bibliotheque";"";"";10;2;280;47.676259;-2.570673
"56140";;"Mediatheque Communautaire";"Tréal";665;"Bibliothèque municipale";"Bibliotheque";"";"";0;1;127;47.839303;-2.223677
"57710";;"Médiathèque municipale Antoine de Saint-Exupéry";"Aumetz";2384;"Bibliothèque municipale";"Bibliotheque";"";"";0;3;297;49.415725;5.942198
"57690";;"Créanto la médiathèque";"Créhange";3927;"Bibliothèque municipale";"Bibliotheque";"";"";7;2;1100;49.066338;6.58105
"57310";;"Bibliothèque municipale François Mitterrand";"Guénange";7626;"Bibliothèque municipale";"Bibliotheque";"";"";11;2;556;49.300152;6.204912
"57700";;"Bibliothèque municipale";"Hayange";16191;"Bibliothèque municipale";"Bibliotheque";"";"";0;2;301;49.328911;6.066048
"57990";;"Bibliothèque municipale";"Hundling";1365;"Bibliothèque intercommunale";"Bibliotheque";"";"";14;0;70;49.109294;6.980836
"84000";;"Bibliothèque St Chamand";"Avignon";92821;"Bibliothèque municipale classée";"Bibliotheque";"";"";0;2;56;43.932041;4.842161
"57950";;"Bibliothèque municipale";"Montigny-lès-Metz";22236;"Bibliothèque municipale";"Bibliotheque";"";"";1;3;372;49.100681;6.156978
