NOM,CP,DOMAINE_SOUS_TYPE,COMMUNE,numdep,nomdept,nomReg,codeReg,ENTRE_GRATUIT,ENTRE_PAYANT,ENTRE_TOTAL
muséum des Sciences Naturelles et de Préhistoire,28000,Archéologie,CHARTRES,28,EURE-ET-LOIR,Centre-Val de Loire,24,10000.0,0.0,10000.0
musée des beaux-arts,28000,Archéologie,CHARTRES,28,EURE-ET-LOIR,Centre-Val de Loire,24,17435.0,0.0,17435.0
La Scène Watteau,94130,Sciences de la nature,NOGENT-SUR-MARNE,94,VAL-DE-MARNE,Île-de-France,11,,,
musée,94130,Arts décoratif,NOGENT-SUR-MARNE,94,VAL-DE-MARNE,Île-de-France,11,2615.0,317.0,2932.0
musée Victor Aubert,78580,Archéologie,MAULE,78,YVELINES,Île-de-France,11,510.0,0.0,510.0
musée de l Hôtel de Berny,80000,Arts décoratif,AMIENS,80,SOMME,Hauts-de-France,32,139.0,336.0,475.0
musée d histoire naturelle,80000,Sciences de la nature,AMIENS,80,SOMME,Hauts-de-France,32,,,
musée de Picardie,80000,Archéologie,AMIENS,80,SOMME,Hauts-de-France,32,26341.0,12180.0,38521.0
Art Zyod Studios,59300,Art,VALENCIENNES,59,NORD,Hauts-de-France,32,,,
musée des beaux-arts,59300,Archéologie,VALENCIENNES,59,NORD,Hauts-de-France,32,904.0,3575.0,4479.0
Centre Culturel de Méréville,91660,Histoire,MÉRÉVILLE,91,ESSONNE,Île-de-France,11,,,
musée de Cerdagne,66800,Archéologie,SAINTE-LEOCADIE,66,PYRENEES-ORIENTALES,Occitanie,76,690.0,2011.0,2701.0
Archives départementales - Loire,42000,Histoire,SAINT-ETIENNE,42,LOIRE,Auvergne-Rhône-Alpes,84,,,
ART M - Créateurs Associés,42000,Sciences de la nature,SAINT-ETIENNE,42,LOIRE,Auvergne-Rhône-Alpes,84,,,
La Rotonde - Centre de Sciences,42000,Sciences de la nature,SAINT-ETIENNE,42,LOIRE,Auvergne-Rhône-Alpes,84,,,
Puits Couriot / Parc-musée de la Mine,42000,Histoire,SAINT-ETIENNE,42,LOIRE,Auvergne-Rhône-Alpes,84,,,
Musée d Art et d Industrie,42000,Mode,SAINT-ETIENNE,42,LOIRE,Auvergne-Rhône-Alpes,84,,,
musée d art et industrie,42000,Arts décoratif,SAINT-ETIENNE,42,LOIRE,Auvergne-Rhône-Alpes,84,5766.0,9884.0,15650.0
musée de la Mine,42000,Histoire,SAINT-ETIENNE,42,LOIRE,Auvergne-Rhône-Alpes,84,11174.0,12178.0,23352.0
musée d art moderne et contemporain de Saint-Etienne,42000,Art,SAINT-ETIENNE,42,LOIRE,Auvergne-Rhône-Alpes,84,22518.0,9327.0,31845.0
musée municipal,84100,Archéologie,ORANGE,84,VAUCLUSE,Provence-Alpes-Côte d Azur,93,0.0,28719.0,28719.0
musée Pierre-de-Luxembourg,30400,Arts décoratif,VILLENEUVE-LEZ-AVIGNON,30,GARD,Occitanie,76,607.0,2943.0,3550.0
musée Mathon Durand,76290,Archéologie,NEUCHATEL-EN-BRAY,76,SEINE-MARITIME,Normandie,28,0.0,346.0,346.0
musée Suffren et du Vieux Saint-Cannat,13760,Archéologie,SAINT-CANNAT,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,,,
musée d’art et d’histoire de Dreux,28100,Archéologie,DREUX,28,EURE-ET-LOIR,Centre-Val de Loire,24,7686.0,314.0,8000.0
musée de Saint-Maur - Villa Médicis,94210,Archéologie,LA_VARENNE-SAINT-HILAIRE,94,VAL-DE-MARNE,Île-de-France,11,7067.0,0.0,7067.0
musée Frédéric Mistral,13910,Histoire,MAILLANE,13,BOUCHES-DU-RHONE,Provence-Alpes-Côte d Azur,93,289.0,559.0,848.0
musée des Phares et Balises,29242,Histoire,OUESSANT,29,FINISTERE,Bretagne,53,977.0,10775.0,11752.0
écomusée d’Ouessant,29242,Histoire,OUESSANT,29,FINISTERE,Bretagne,53,325.0,4275.0,4600.0
Musée de Pont-Aven,29930,Art,PONT-AVEN,29,FINISTERE,Bretagne,53,,,
musée,29930,Art,PONT-AVEN,29,FINISTERE,Bretagne,53,12360.0,36877.0,49237.0
musée du Quai Branly - Jacques Chirac,75007,Histoire,PARIS,75,PARIS,Île-de-France,11,389152.0,226643.0,615795.0
Musée du quai Branly - Jacques Chirac,75007,Archéologie,PARIS,75,PARIS,Île-de-France,11,,,
Musée Rodin,75007,Sculpture,PARIS,75,PARIS,Île-de-France,11,,,
Musée d Orsay,75007,Art,PARIS,75,PARIS,Île-de-France,11,,,
Association Lire et faire lire,75007,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Centre national du Livre  (CNL),75007,Sciences de la nature,PARIS,75,PARIS,Île-de-France,11,,,
Musée des Plans-Reliefs,75007,Histoire,PARIS,75,PARIS,Île-de-France,11,,,
Musées en Centre-Val de Loire,75007,Archéologie,ORLÉANS,75,PARIS,Île-de-France,11,,,
Musée Rodin,75007,Sculpture,PARIS,75,PARIS,Île-de-France,11,,,
musée Rodin,75007,Art,PARIS,75,PARIS,Île-de-France,11,1750.0,0.0,1750.0
musée d Orsay,75007,Arts décoratif,PARIS,75,PARIS,Île-de-France,11,507311.0,537054.0,1044365.0
musée des plans-reliefs,75007,Histoire,PARIS,75,PARIS,Île-de-France,11,0.0,36501.0,36501.0
musée national de la Légion d honneur et des ordres de chevalerie,75007,Histoire,PARIS,75,PARIS,Île-de-France,11,19111.0,0.0,19111.0
La Turbine sciences,74000,Sciences de la nature,ANNECY,74,HAUTE-SAVOIE,Auvergne-Rhône-Alpes,84,,,
"Conseil d architecture, d urbanisme et de l environnement de Haute-Savoie",74000,Art,ANNECY,74,HAUTE-SAVOIE,Auvergne-Rhône-Alpes,84,,,
CITIA,74000,Art,ANNECY,74,HAUTE-SAVOIE,Auvergne-Rhône-Alpes,84,,,
musée-château,74000,Archéologie,ANNECY,74,HAUTE-SAVOIE,Auvergne-Rhône-Alpes,84,25648.0,51253.0,76901.0
