CP,Type,NOM,COMMUNE,FAUTEUIL,Public,ECRAN,SOUS_TYPE_THEMATIQUE,GCD,LATTI,LONGI,codeReg,nomReg,numdep,nomdept
85150,Cinéma,La Chapelle Achard,LES_ACHARDS,300.0,,1.0,Cinéma,5 - Bourgs ruraux,46.587908,-1.642858,52,Pays de la Loire,85,VENDEE
85330,Cinéma,Mimosa,NOIRMOUTIER-EN-L_ILE,500.0,,2.0,Cinéma,6 - Rural à habitat dispersé,47.00513707,-2.24096822,52,Pays de la Loire,85,VENDEE
85690,Cinéma,Les Yoles Salle Ste Therese,NOTRE-DAME-DE-MONTS,255.0,,1.0,Cinéma,5 - Bourgs ruraux,46.83001162,-2.13364351,52,Pays de la Loire,85,VENDEE
85700,Cinéma,L echiquier,POUZAUGES,154.0,,1.0,Cinéma,5 - Bourgs ruraux,46.77343117,-0.85009521,52,Pays de la Loire,85,VENDEE
85100,Cinéma,Le Grand Palace,LES_SABLES-D_OLONNE,1293.0,,5.0,Cinéma,3 - Petites villes,46.50331381,-1.79763369,52,Pays de la Loire,85,VENDEE
86300,Cinéma,Rex,CHAUVIGNY,218.0,,2.0,Cinéma,5 - Bourgs ruraux,46.56803122,0.64774785,75,Nouvelle-Aquitaine,86,VIENNE
86140,Cinéma,Etoile,LENCLOÎTRE,289.0,,1.0,Cinéma,6 - Rural à habitat dispersé,46.815557,0.327879,75,Nouvelle-Aquitaine,86,VIENNE
86200,Cinéma,Cinema Cornay,LOUDUN,151.0,,1.0,Cinéma,3 - Petites villes,47.01014378,0.08313943,75,Nouvelle-Aquitaine,86,VIENNE
86500,Cinéma,Majestic,MONTMORILLON,166.0,,1.0,Cinéma,3 - Petites villes,46.42498093,0.87029868,75,Nouvelle-Aquitaine,86,VIENNE
86000,Cinéma,Cgr Castille,POITIERS,719.0,,5.0,Cinéma,1 - Grands centres urbains,46.58014448,0.33913796,75,Nouvelle-Aquitaine,86,VIENNE
87130,Cinéma,Colisee,CHÂTEAUNEUF-LA-FORÊT,210.0,,1.0,Cinéma,5 - Bourgs ruraux,45.71459984,1.60832931,75,Nouvelle-Aquitaine,87,HAUTE-VIENNE
87210,Cinéma,Le Cinema (Ex Le Select),LE_DORAT,270.0,,1.0,Cinéma,5 - Bourgs ruraux,46.21510183,1.07971207,75,Nouvelle-Aquitaine,87,HAUTE-VIENNE
87200,Cinéma,Cine Bourse,SAINT-JUNIEN,328.0,,2.0,Cinéma,3 - Petites villes,45.88788591,0.90302155,75,Nouvelle-Aquitaine,87,HAUTE-VIENNE
88120,Cinéma,L entr actes  (Ex-Eden),VAGNEY,183.0,,1.0,Cinéma,5 - Bourgs ruraux,48.00834773,6.71458656,44,Grand Est,88,VOSGES
89300,Cinéma,Agnès Varda,JOIGNY,118.0,,1.0,Cinéma,3 - Petites villes,47.98275624,3.40689793,27,Bourgogne-Franche-Comté,89,YONNE
90100,Cinéma,Halle des Cinq Fontaines,DELLE,113.0,,1.0,Cinéma,3 - Petites villes,47.507389,7.00468852,27,Bourgogne-Franche-Comté,90,TERRITOIRE DE BELFORT
91200,Cinéma,Cinema Ventura,ATHIS-MONS,175.0,,1.0,Cinéma,1 - Grands centres urbains,48.70941706,2.38774336,11,Île-de-France,91,ESSONNE
91100,Cinéma,Arcel,CORBEIL-ESSONNES,380.0,,3.0,Cinéma,1 - Grands centres urbains,48.60393016,2.46910344,11,Île-de-France,91,ESSONNE
91150,Cinéma,Cinetampes,ETAMPES,146.0,,1.0,Cinéma,2 - Centres urbains intermédiaires,48.43402631,2.15776986,11,Île-de-France,91,ESSONNE
91300,Cinéma,Cinemassy,MASSY,324.0,,3.0,Cinéma,1 - Grands centres urbains,48.73348156,2.28977773,11,Île-de-France,91,ESSONNE
91700,Cinéma,Les 4 Perray,SAINTE-GENEVIÈVE-DES-BOIS,728.0,,4.0,Cinéma,1 - Grands centres urbains,48.647712,2.326708,11,Île-de-France,91,ESSONNE
91240,Cinéma,Cines Carne,SAINT-MICHEL-SUR-ORGE,496.0,,3.0,Cinéma,1 - Grands centres urbains,48.63733699,2.3217828,11,Île-de-France,91,ESSONNE
91370,Cinéma,Espace Bernard Mantienne,VERRIÈRES-LE-BUISSON,491.0,,2.0,Cinéma,1 - Grands centres urbains,48.75257453,2.2709493,11,Île-de-France,91,ESSONNE
